ID	geneLength	allCountsMulti	filteredCountsMulti	dupRateMulti	dupsPerIdMulti	RPKMulti	PKMMulti	allCounts	filteredCounts	dupRate	dupsPerId	RPK	RPKM
ENSG00000277248	113	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000283047	749	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000280363	54	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000279973	120	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000226444	1241	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000276871	151	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000283023	774	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000276138	107	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000280341	6114	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000236235	371	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000279442	6179	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000184624	1908	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000236097	577	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000236831	297	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000130538	982	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000237299	568	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000235759	2508	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000233408	1294	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000215268	2260	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000213727	1177	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000230643	118	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000230471	1730	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000231565	1338	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000226474	177	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000224435	1649	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000234381	822	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000198062	2293	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000236666	2566	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000212216	107	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000241838	1123	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000225255	855	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000235992	1097	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000206195	5545	4	4	0	0	0.721370604147881	4.95365189905428	4	4	0	0	0.721370604147881	4.95365189905428
ENSG00000271127	1388	1	1	0	0	0.720461095100865	4.94740630047839	1	1	0	0	0.720461095100865	4.94740630047839
ENSG00000232775	1572	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000272872	694	2	2	0	0	2.88184438040346	19.7896252019135	2	2	0	0	2.88184438040346	19.7896252019135
ENSG00000271672	622	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000223875	1493	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000215270	1049	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000229286	121	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000233866	586	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000278188	106	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000225293	604	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000226160	88	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000229658	1612	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000227367	1288	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000280263	1338	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000235969	246	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000273362	661	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000233995	617	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000239435	3389	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000198445	2060	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000240122	397	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000100181	9653	16	16	0	0	1.65751579819745	11.3821608951646	16	16	0	0	1.65751579819745	11.3821608951646
ENSG00000283633	3071	3	3	0	0	0.976880494952784	6.70823830517486	3	3	0	0	0.976880494952784	6.70823830517486
ENSG00000267338	546	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000249288	253	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000249263	317	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000189295	1181	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000259271	1623	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000273244	875	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000241717	2907	2	2	0	0	0.687994496044032	4.7244581665387	2	2	0	0	0.687994496044032	4.7244581665387
ENSG00000235343	1241	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000172967	1690	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000229027	1381	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000234121	145	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000283535	555	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000237835	359	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000220248	3100	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000237689	500	3	3	0	0	6	41.201999670384	3	3	0	0	6	41.201999670384
ENSG00000228122	204	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000237358	351	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000225480	102	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000230481	354	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000253691	367	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000253460	360	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000254264	313	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000253481	360	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000280156	84332	1	1	0	0	0.011857894986482	0.0814281642207466	1	1	0	0	0.011857894986482	0.0814281642207466
ENSG00000215568	3747	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000270226	529	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000276400	867	0	0	NA	0	0	0	0	0	NA	0	0	0
